"OVERLAP_PROXIMAL_CLOSEST_GENES"	"histotype"
"ZNF516"	"EnOC"
"PPARA"	"EnOC"
"SPDEF"	"EnOC"
"SNAPC2"	"EnOC"
"DBP"	"EnOC"
"ZBTB45"	"EnOC"
"ZNF628"	"EnOC"
"TCFL5"	"EnOC"
"ZNF565"	"EnOC"
"ZNF146"	"EnOC"
"MZF1"	"EnOC"
"ESRRA"	"EnOC"
"FOXK2"	"EnOC"
"RCOR2"	"EnOC"
"TCF3"	"EnOC"
"ETV4"	"EnOC"
"ZNF598"	"EnOC"
"VDR"	"EnOC"
"JUNB"	"HGSOC"
"FOS"	"HGSOC"
"IRF1"	"HGSOC"
"RARA"	"HGSOC"
"ARID5B"	"HGSOC"
"SMAD3"	"HGSOC"
"KLF13"	"HGSOC"
"KLF9"	"HGSOC"
"ZNF217"	"HGSOC"
"KLF6"	"HGSOC"
"ETS1"	"HGSOC"
"MNT"	"HGSOC"
"FOSL2"	"HGSOC"
"MEF2D"	"HGSOC"
"FOXO3"	"HGSOC"
"EPAS1"	"HGSOC"
"BCL6"	"HGSOC"
"TGIF1"	"HGSOC"
"ZBTB38"	"HGSOC"
"FOXK1"	"HGSOC"
"ZNF710"	"HGSOC"
"MBNL2"	"HGSOC"
"BHLHE40"	"HGSOC"
"NR2F2"	"HGSOC"
"GATA6"	"HGSOC"
"KLF7"	"HGSOC"
"IRF2"	"HGSOC"
"NFE2L2"	"HGSOC"
"NAIF1"	"HGSOC"
"RUNX1"	"HGSOC"
"RERE"	"HGSOC"
"SKI"	"HGSOC"
"CSRNP1"	"HGSOC"
"KLF3"	"HGSOC"
"ZBTB7A"	"HGSOC"
"SPEN"	"HGSOC"
"CXXC5"	"HGSOC"
"XBP1"	"HGSOC"
"GATAD2B"	"HGSOC"
"HIVEP2"	"HGSOC"
"CEBPD"	"HGSOC"
"WT1"	"HGSOC"
"SREBF1"	"HGSOC"
"RREB1"	"HGSOC"
"ARID1A"	"HGSOC"
"NR4A2"	"HGSOC"
"ZBTB1"	"HGSOC"
"ZBTB25"	"HGSOC"
"NR1D1"	"HGSOC"
"MYC"	"HGSOC"
"TSC22D2"	"HGSOC"
"ZBTB7B"	"HGSOC"
"MLXIP"	"HGSOC"
"KLF10"	"HGSOC"
"SP1"	"HGSOC"
"ARID2"	"HGSOC"
"CEBPB"	"HGSOC"
"NFIC"	"HGSOC"
"HIVEP1"	"HGSOC"
"FOXO1"	"HGSOC"
"ETV6"	"HGSOC"
"JUND"	"HGSOC"
"ID2"	"HGSOC"
"ZBTB16"	"HGSOC"
"ELF4"	"HGSOC"
"JUN"	"HGSOC"
"MEIS1"	"HGSOC"
"RXRA"	"HGSOC"
"ERF"	"HGSOC"
"SP3"	"HGSOC"
"MAFK"	"HGSOC"
"NFIB"	"HGSOC"
"GATAD2A"	"HGSOC"
"FOSL1"	"HGSOC"
"ARID1B"	"HGSOC"
"RELA"	"HGSOC"
"BHLHE41"	"HGSOC"
"NFIA"	"HGSOC"
"STAT6"	"HGSOC"
"SP100"	"HGSOC"
"ZNF526"	"HGSOC"
"BAZ2A"	"HGSOC"
"SOX4"	"HGSOC"
"ZNF608"	"HGSOC"
"HIF1A"	"HGSOC"
"PAX8"	"HGSOC"
"HMGA1"	"HGSOC"
"FOXR1"	"HGSOC"
"LYL1"	"HGSOC"
"SGSM2"	"HGSOC"
"ZFP62"	"HGSOC"
"MLX"	"HGSOC"
"HES7"	"HGSOC"
"CREB3L4"	"HGSOC"
"POU2F3"	"HGSOC"
"NR4A1"	"HGSOC"
"FOSB"	"HGSOC"
"ZNF792"	"HGSOC"
"THRA"	"HGSOC"
"ZNF283"	"HGSOC"
"TIGD3"	"HGSOC"
"BCL6B"	"HGSOC"
"KCMF1"	"HGSOC"
"SP7"	"HGSOC"
"NFE2L3"	"HGSOC"
"ZNF22"	"HGSOC"
"JRKL"	"HGSOC"
"PCGF2"	"HGSOC"
"CIC"	"HGSOC"
"ELF1"	"HGSOC"
"PATZ1"	"HGSOC"
"DPF1"	"HGSOC"
"ATF4"	"HGSOC"
"TMF1"	"HGSOC"
"ZNF774"	"HGSOC"
"GLIS2"	"HGSOC"
"TFAP4"	"HGSOC"
"MAX"	"HGSOC"
"MAFF"	"HGSOC"
"ELF3"	"HGSOC"
"ZNF503"	"HGSOC"
"SOX17"	"HGSOC"
"TFAP2A"	"HGSOC"
"MECOM"	"HGSOC"
"HES1"	"HGSOC"
"SOX18"	"HGSOC"
"RBPJL"	"HGSOC"
"EMX2"	"HGSOC"
"PLAGL2"	"HGSOC"
"NR2F6"	"HGSOC"
"HOXD10"	"HGSOC"
"HOXD9"	"HGSOC"
"GPBP1"	"HGSOC"
"EHF"	"HGSOC"
"AHDC1"	"HGSOC"
"PBX2"	"HGSOC"
"FOXJ1"	"HGSOC"
"PRRX2"	"HGSOC"
"MBD6"	"HGSOC"
"DDIT3"	"HGSOC"
"SIX5"	"HGSOC"
"GLIS3"	"HGSOC"
"GTF2IRD1"	"HGSOC"
"RARG"	"HGSOC"
"REPIN1"	"HGSOC"
"ZNF7"	"HGSOC"
"SOX12"	"HGSOC"
"ZNF250"	"HGSOC"
"ZNF707"	"HGSOC"
"DLX3"	"HGSOC"
"HOXD4"	"HGSOC"
"HOXD11"	"HGSOC"
"HOXD3"	"HGSOC"
"HOXD8"	"HGSOC"
"HOXB1"	"HGSOC"
"HES6"	"HGSOC"
"ZBTB46"	"HGSOC"
"TET3"	"HGSOC"
"ZNF740"	"HGSOC"
"HES5"	"HGSOC"
"ZNF775"	"HGSOC"
"ANKZF1"	"HGSOC"
"GTF2I"	"HGSOC"
"VEZF1"	"HGSOC"
"HIVEP3"	"HGSOC"
"HOXD1"	"HGSOC"
"HES4"	"HGSOC"
"POU5F1"	"HGSOC"
"SRCAP"	"HGSOC"
"NFIX"	"HGSOC"
"GZF1"	"HGSOC"
"KDM2A"	"HGSOC"
"CASZ1"	"HGSOC"
"CAMTA1"	"HGSOC"
"TFEB"	"HGSOC"
"TBX6"	"HGSOC"
"TEAD3"	"HGSOC"
"PHOX2A"	"HGSOC"
"TSC22D1"	"HGSOC"
"NFATC4"	"HGSOC"
"ESRRA"	"HGSOC"
"DMRTB1"	"HGSOC"
"CREB3"	"HGSOC"
"MXI1"	"HGSOC"
"RCOR2"	"HGSOC"
"KLF5"	"HGSOC"
"PBX1"	"HGSOC"
"GRHL2"	"HGSOC"
"TEAD1"	"HGSOC"
"BAZ2B"	"HGSOC"
"ESR1"	"HGSOC"
"IKZF2"	"HGSOC"
"NR2E3"	"HGSOC"
"RFX1"	"HGSOC"
"ZBTB7C"	"HGSOC"
"ZBTB22"	"HGSOC"
"NFX1"	"HGSOC"
"HMG20A"	"HGSOC"
"SP2"	"HGSOC"
"ETV3"	"HGSOC"
"RFX3"	"HGSOC"
"ETV3L"	"HGSOC"
"ZEB2"	"MOC"
"JUNB"	"MOC"
"FOS"	"MOC"
"IRF1"	"MOC"
"RARA"	"MOC"
"SMAD3"	"MOC"
"KLF13"	"MOC"
"KLF9"	"MOC"
"ZNF217"	"MOC"
"KLF6"	"MOC"
"MNT"	"MOC"
"FOSL2"	"MOC"
"MEF2D"	"MOC"
"FOXO3"	"MOC"
"EPAS1"	"MOC"
"BCL6"	"MOC"
"TGIF1"	"MOC"
"ZBTB38"	"MOC"
"FOXK1"	"MOC"
"ZNF710"	"MOC"
"BHLHE40"	"MOC"
"NR2F2"	"MOC"
"AKNA"	"MOC"
"GATA6"	"MOC"
"IRF2"	"MOC"
"NFE2L2"	"MOC"
"NAIF1"	"MOC"
"RUNX1"	"MOC"
"RERE"	"MOC"
"ZNF395"	"MOC"
"UBTF"	"MOC"
"SKI"	"MOC"
"CSRNP1"	"MOC"
"KLF3"	"MOC"
"ZBTB7A"	"MOC"
"SPEN"	"MOC"
"CXXC5"	"MOC"
"XBP1"	"MOC"
"SPI1"	"MOC"
"HIVEP2"	"MOC"
"CEBPD"	"MOC"
"FOXP1"	"MOC"
"SREBF1"	"MOC"
"RREB1"	"MOC"
"ARID1A"	"MOC"
"ID3"	"MOC"
"NR4A2"	"MOC"
"ZBTB1"	"MOC"
"ZBTB25"	"MOC"
"NR1D1"	"MOC"
"ZBTB7B"	"MOC"
"MLXIP"	"MOC"
"SP1"	"MOC"
"ARID2"	"MOC"
"CEBPB"	"MOC"
"NFIC"	"MOC"
"FOXO1"	"MOC"
"ETV6"	"MOC"
"JUND"	"MOC"
"DOT1L"	"MOC"
"ID2"	"MOC"
"JUN"	"MOC"
"MEIS1"	"MOC"
"RXRA"	"MOC"
"ERF"	"MOC"
"SP3"	"MOC"
"MAFK"	"MOC"
"NFIB"	"MOC"
"GATAD2A"	"MOC"
"ID1"	"MOC"
"FOSL1"	"MOC"
"ARID1B"	"MOC"
"ETS2"	"MOC"
"CREB3L1"	"MOC"
"RELA"	"MOC"
"BHLHE41"	"MOC"
"ZNF511"	"MOC"
"STAT6"	"MOC"
"ZNF526"	"MOC"
"DRAP1"	"MOC"
"TSHZ1"	"MOC"
"BAZ2A"	"MOC"
"SOX4"	"MOC"
"HIF1A"	"MOC"
"PAX8"	"MOC"
"FOXR1"	"MOC"
"LYL1"	"MOC"
"SGSM2"	"MOC"
"ZFP62"	"MOC"
"ZNF541"	"MOC"
"HES7"	"MOC"
"RCOR1"	"MOC"
"E2F2"	"MOC"
"NR4A1"	"MOC"
"FOSB"	"MOC"
"MESP2"	"MOC"
"THRA"	"MOC"
"ZNF283"	"MOC"
"TIGD3"	"MOC"
"BCL6B"	"MOC"
"KCMF1"	"MOC"
"SP7"	"MOC"
"USF1"	"MOC"
"JRKL"	"MOC"
"PCGF2"	"MOC"
"ZGPAT"	"MOC"
"SLC2A4RG"	"MOC"
"CIC"	"MOC"
"BRF2"	"MOC"
"ZNF428"	"MOC"
"CENPB"	"MOC"
"PATZ1"	"MOC"
"THAP3"	"MOC"
"ZBTB48"	"MOC"
"DPF1"	"MOC"
"ZNF114"	"MOC"
"ATF4"	"MOC"
"ZNF213"	"MOC"
"ZNF205"	"MOC"
"AKAP8"	"MOC"
"PA2G4"	"MOC"
"IRF3"	"MOC"
"PRR12"	"MOC"
"GLIS2"	"MOC"
"HIC1"	"MOC"
"HNF1B"	"MOC"
"HOXB6"	"MOC"
"HOXB7"	"MOC"
"HOXB8"	"MOC"
"MAFF"	"MOC"
"ELF3"	"MOC"
"ZNF503"	"MOC"
"TFAP2A"	"MOC"
"MECOM"	"MOC"
"HOXB5"	"MOC"
"HES1"	"MOC"
"GATA2"	"MOC"
"RBPJL"	"MOC"
"HNF1A"	"MOC"
"NR2F6"	"MOC"
"HOXB2"	"MOC"
"EHF"	"MOC"
"AHDC1"	"MOC"
"HOXB4"	"MOC"
"SOX13"	"MOC"
"PRRX2"	"MOC"
"MBD6"	"MOC"
"DDIT3"	"MOC"
"SIX5"	"MOC"
"RARG"	"MOC"
"KLF16"	"MOC"
"REPIN1"	"MOC"
"DEAF1"	"MOC"
"GATA4"	"MOC"
"ZFHX3"	"MOC"
"HOXB3"	"MOC"
"HOXB9"	"MOC"
"ZNF707"	"MOC"
"RAX2"	"MOC"
"ZNF816"	"MOC"
"ZNF320"	"MOC"
"HOXB1"	"MOC"
"HES6"	"MOC"
"TET3"	"MOC"
"ZNF740"	"MOC"
"HES5"	"MOC"
"ZNF775"	"MOC"
"YBX2"	"MOC"
"TEF"	"MOC"
"FOXH1"	"MOC"
"SALL4"	"MOC"
"MEF2A"	"MOC"
"ZNF750"	"MOC"
"MAZ"	"MOC"
"ZNF552"	"MOC"
"GTF2I"	"MOC"
"SOX9"	"MOC"
"VEZF1"	"MOC"
"FOXC1"	"MOC"
"HIVEP3"	"MOC"
"TIGD5"	"MOC"
"TCF7L2"	"MOC"
"POU5F1"	"MOC"
"ZNF586"	"MOC"
"ZNF587"	"MOC"
"ZNF689"	"MOC"
"SRCAP"	"MOC"
"NFIX"	"MOC"
"NEUROD2"	"MOC"
"GZF1"	"MOC"
"KDM2A"	"MOC"
"ZNF778"	"MOC"
"CASZ1"	"MOC"
"ZNF469"	"MOC"
"ZFPM1"	"MOC"
"TFEB"	"MOC"
"TBX6"	"MOC"
"PURA"	"MOC"
"MNX1"	"MOC"
"PRDM16"	"MOC"
"ZNF516"	"MOC"
"PPARA"	"MOC"
"SPDEF"	"MOC"
"ZKSCAN1"	"MOC"
"HOXC4"	"MOC"
"DBP"	"MOC"
"HOXC6"	"MOC"
"ZBTB45"	"MOC"
"IRX5"	"MOC"
"DMRTC2"	"MOC"
"CBX2"	"MOC"
"MZF1"	"MOC"
"ESRRA"	"MOC"
